"lat","long","alt","index"
42.552353,-2.266359,482.437774658203,93
42.552162,-2.266896,476.49365234375,94
42.552242,-2.267486,470.404296875,95
42.552273,-2.26784,465.274993896484,96
42.552448,-2.268022,465.418823242188,97
42.552963,-2.268387,468.455902099609,98
42.553303,-2.26887,466.099304199219,99
42.553577,-2.269031,466.990020751953,100
42.553776,-2.269396,461.384887695312,101
42.553951,-2.269503,462.039123535156,102
42.554165,-2.26976,460.604278564453,103
42.55418,-2.269996,456.948120117188,104
42.553951,-2.270651,451.389770507812,105
42.553665,-2.271488,451.708465576172,106
42.553482,-2.272292,452.265594482422,107
42.553047,-2.272249,456.132293701172,108
42.552765,-2.272003,458.073181152344,109
42.552677,-2.27167,458.049468994141,110
42.552418,-2.271338,459.269714355469,111
42.552059,-2.271091,460.280639648438,112
42.552006,-2.271295,462.393280029297,113
42.551888,-2.271638,465.737548828125,114
42.551712,-2.271627,466.840484619141,115
42.551636,-2.271777,468.523529052734,116
42.551697,-2.272099,470.514862060547,117
42.551674,-2.272335,471.989624023438,118
42.55146,-2.272893,476.754180908203,119
42.551292,-2.273226,477.8623046875,120
42.551445,-2.273784,478.642669677734,121
42.551414,-2.273966,479.43798828125,122
42.55127,-2.274492,482.175720214844,123
42.550922,-2.275082,486.063354492188,124
42.550568,-2.275629,489.030578613281,125
42.550331,-2.27608,490.302764892578,126
42.550037,-2.276627,491.900329589844,127
42.549839,-2.276841,492.613433837891,128
42.549728,-2.277067,493.205078125,129
42.549618,-2.277625,494.138702392578,130
42.549587,-2.278601,499.090362548828,131
42.549461,-2.279502,501.500732421875,132
42.549408,-2.280071,501.839447021484,133
42.549332,-2.280495,501.770904541016,134
42.549248,-2.280822,501.054168701172,135
42.549194,-2.281396,501.449584960938,136
42.549183,-2.281632,501.942810058594,137
42.549088,-2.281932,501.447906494141,138
42.54895,-2.282447,500.802825927734,139
42.548843,-2.282635,498.98681640625,140
42.548687,-2.282791,496.871307373047,141
42.548569,-2.282946,495.031921386719,142
42.548489,-2.283279,493.254119873047,143
42.548473,-2.283418,492.864562988281,144
42.548527,-2.283563,492.853118896484,145
42.548378,-2.283896,492.171966552734,146
42.548199,-2.284228,493.113891601562,147
42.548084,-2.284362,493.555084228516,148
42.547916,-2.28448,493.754028320312,149
42.547829,-2.28462,494.294555664062,150
42.547672,-2.28485,494.874084472656,151
42.547428,-2.285076,494.522277832031,152
42.547237,-2.285323,493.676666259766,153
42.547215,-2.285607,494.336181640625,154
42.54723,-2.286015,495.065582275391,155
42.547199,-2.286149,494.635711669922,156
42.547081,-2.28639,493.461181640625,157
42.546913,-2.28668,492.757354736328,158
42.54686,-2.286921,493.451324462891,159
42.546837,-2.287093,494.100799560547,160
42.54668,-2.287259,494.413604736328,161
42.546349,-2.287393,499.589202880859,162
42.546021,-2.28735,505.002166748047,163
42.545757,-2.287318,508.160705566406,164
42.545563,-2.287323,510.114501953125,165
42.545486,-2.287264,510.6796875,166
42.545242,-2.287275,513.172180175781,167
42.545189,-2.287372,513.591491699219,168
42.54501,-2.287511,514.390075683594,169
42.544857,-2.287683,515.100463867188,170
42.544792,-2.287865,515.581726074219,171
42.544823,-2.288134,516.620666503906,172
42.54472,-2.288396,517.915344238281,173
42.544693,-2.2886,518.876586914062,174
42.544643,-2.28882,520.551391601562,175
42.544579,-2.28919,523.3388671875,176
42.544556,-2.289303,524.156127929688,177
42.54451,-2.289577,525.457580566406,178
42.544441,-2.289888,526.747680664062,179
42.544403,-2.290124,528.062377929688,180
42.544399,-2.290424,530.2177734375,181
